case_number,name,evaluation_seed,prompt
102,n'Golo_kanté,61281,"n'Golo_kanté, detailed eyes and skin, there is a man that is standing in a soccer field, adut akech, headshot photo, irina french, telephoto shot, avatar image, hyper - detailed photo, very known photo, antoine-jean gr, england, bald, headshot profile picture, video, fra, kim jung gi, watch photo"
103,albert_einstein,1578,"albert_einstein, detailed eyes and skin, arafed photograph of a man in a suit and tie standing in front of a chalkboard, portrait of albert einstein, it has a piercing gaze, instagram photo, profile image, head - and - shoulders shot, orb, ffffound, east african man with curly hair, marie curie, headshot profile picture, head-and-shoulders shot, exterior shot"
104,erling_haaland,4708,"erling_haaland, detailed eyes and skin, araffe soccer player in yellow uniform celebrating a goal, soccer player matthijs de ligt, clasps his bangs in one hand, albino, vitalik buterin, small blond goatee, yellow and black, sturm und drang, albert kiefer, profile pic, january, he is floundering, hermann hendrich, former, clenching"
105,ninja,59439,"ninja, detailed eyes and skin, arafed man with a colorful mohawk and a black shirt, mrbeast, discord profile picture, turquoise hair, kai vermehr, catalog photo, wearing the number 1 headband, an ocean, zdzisław, masha krasnova, knyazev konstantin, age 2 0, 2 0 1 5, smg, photo still, jojo"
106,james_harden,49008,"james_harden, detailed eyes and skin, a close up of a basketball player dribbling a basketball ball, long beard, wearing nba jersey, christian saint, red and blue color scheme, here is one olive, listing image, nbc, annie lebovetz, wearing a red captain's uniform, video, black man with afro hair, stats, , active, jpl, lovecratian, thumbnail"
107,leBron_james,64778,"leBron_james, detailed eyes and skin, arafed basketball player with a beard and a yellow jersey holding a basketball, lebron james, purple vest, looking to his left, taken in 2 0 2 0, square, upper body visible, wearing nba jersey, lv, professional image, center of image, closeup - view, full device, photograph, famous photo, january, alexa 65, center view"
108,johan_cruyff,52423,"johan_cruyff, detailed eyes and skin, there is a man in a red shirt holding a remote control, stjepan sejic, seventies, tony hawk, medium head to shoulder shot, hungarian, by Greg Spalenka, square, looking left, paisley, ƒ / 3. 5, andrzej sykut, inspiring, hziulquoigmnzhah, hedi slimane"
109,ms_dhoni,12601,"ms_dhoni, detailed eyes and skin, a close up of a man holding a trophy in a box, wearing yellow floral blouse, no artifacts!!!!!, dhamphir, 😃😀😄☺🙃😉😗, wallpapers, captain, clemente, with shoulder pads, mobile wallpaper, 🌻🎹🎼, dramatic lighting !n-9, profile pic, listing image"
110,elizabeth_taylor,16037,"elizabeth_taylor, detailed eyes and skin, arafed woman in a metallic dress posing for a picture, elizabeth taylor, seductive smirk, navel, square, an extremely high quality hd, taken in the early 2020s, shrugging arms, hindu, 1 1 1 1"
111,anthony_davis,18627,"anthony_davis, detailed eyes and skin, arafed man in a black hoodie holding a basketball ball, purple and yellow, wearing nba jersey, bearded and built, concentration, # glazersout, painstaking detail, square, carved, lê long, candid, theron, tyler, jesse mccree, phot, wearing a hoody, il, nba, a wooden, practice"
112,tom_brady,10234,"tom_brady, detailed eyes and skin, arafed football player with a painted face and number on his face, tom brady, in red and black, concentration, taken in the early 2020s, steve caldwell, beckinsale, greg olsen, benjamin vnuk, with high cheekbones, new orleans, halfing, they are very serious, ratio 16:9, huge glistening muscles"
113,larry_ellison,33399,"larry_ellison, detailed eyes and skin, arafed man in a suit speaking into a microphone at a conference, ted gore, goatee, sleek hands, full image, iu, he is wearing a black trenchcoat, adobe, show from below, looking directly at the viewer, gateway, sienna, compressed jpeg, big boss, broadshouldered, soaring, sage, head and shoulder shot"
114,kobe_bryant,61955,"kobe_bryant, detailed eyes and skin, arafed basketball player dribbling a basketball during a game, kobe bryant, looking intensely at the camera, 2014, compressed jpeg, file photo, tudor, he is about 40 years old, looking to the right, smoth, low iso, mercedes, arms to side, kek"
115,yuvraj_singh,57092,"yuvraj_singh, detailed eyes and skin, a close up of a man holding a flag and a woman, indian super model, sports, big!!!!!!!!!!!!, happy birthday, cwc, thunder, 1 1 1 1, freedom, he is a long boi ”, great masterpiece, beautiful”"
116,philippe_coutinho,12079,"philippe_coutinho, detailed eyes and skin, arafed soccer player with a yellow shirt and green and white shirt, well defined jawline, danilo torres, president of brazil, 15081959 21121991 01012000 4k, alexis flower, square, 2 2 years old, london, 1128x191 resolution"
117,allen_iverson,18646,"allen_iverson, detailed eyes and skin, arafed basketball player with a headband salutes his hand, taken in the mid 2000s, jesse mccree, cr3, promotional image, [[fantasy]], georges mathieu, cleveland, instagram, sensual and beautiful incubus, :3, square, sam hyde, starry, pistons, blank stare”, onyx, edge, boston, eyepatch"
118,mukesh_ambani,55425,"mukesh_ambani, detailed eyes and skin, arafed man in a suit sitting in a chair with a book, jair bolsonaro, ranjit ghosh, calatrava, large screen, sideways glance, inspired by Edi Rama, starry, mane, desi, no crop, inspired by Wang Yi, looking partly to the left, [ bubbles, slightly turned to the right, nixri, racks, dubai"
119,zedong_mao,17203,"zedong_mao, detailed eyes and skin, a black and white photo of a man in a military uniform, mao zedong, grayscale photo with red dress, headshot photo, mid length portrait photograph, instagram picture, official government photo, ((portrait)), hemp, portrait n - 9, headshot photograph, presidential portrait, portrait photograph, full device, slide show, photograph portrait, 1 2 9 7, portrait"
120,nelson_mandela,54431,"nelson_mandela, detailed eyes and skin, arafed man with a suit and tie sitting in a room, african facial features, nobel prize, mandelblub fractal, he is wearing a black t-shirt, looking old, the president, mongezi ncaphayi, wikimedia, afremov, kodak photo, exterior shot, detailed zoom photo, high res photo, sun beaming down on him"
121,kevin_de_bruyne,13502,"kevin_de_bruyne, detailed eyes and skin, arafed man in a blue shirt with a soccer ball in his hand, wild ginger hair, pictured from the shoulders up, manchester city, photo from 2022, square, train with maroon, james mccarthy, killian eng, alert eyes, closeup photograph, f 1/3, a blond, celebrity, uhq, looking left, chozo, "
122,chris_paul,18981,"chris_paul, detailed eyes and skin, there is a man standing on a court with a basketball ball, stars in background, looking to the side off camera, 2019, not cropped, square, performing, allen williams, looking from shoulder, actor liam hemsworth, somalia, many stars, j. h. williams iii, photo taken in 2018, mcdonald, novi stars, stern look"
123,tom_cruise,53862,"tom_cruise, detailed eyes and skin, arafed man with a microphone smiling and wearing a green shirt, tom cruise, avatar image, malika favre, profile picture, 2 0 2 1, tom cruise as ironman, square masculine facial features, actress, while smiling for a photograph, tom brady, usa-sep 20, the mummy, bauhaus, former"
124,carlos_slim_helu,2570,"carlos_slim_helu, detailed eyes and skin, arafed man in a suit and tie looking at the camera, carlos ortega elizalde, mariano rajoy, 1/4 profile, aoc, subtle detailing, bud spencer, beautiful look, half moon, highres, karla ortiz, monaco, pablo hurtado de mendoza, lit from the side, flag, donoto giancola, puma, detailed mawshot"
125,thomas_müller,37894,"thomas_müller, detailed eyes and skin, arafed soccer player in red jersey with arms outstretched in celebration, marco plouffe, mercedes, clasps his bangs in one hand, 🎀 🗡 🍓 🧚, ascher clemens, 4 0 years old man, january, 2019 trending photo, ƒ5.6, square, western european, tudor, 1 2 9 7, "
126,kanye_west,37775,"kanye_west, detailed eyes and skin, araffed man with sunglasses and a blazer looking at the camera, kayne west, square masculine facial features, k high definition, wearing brown robes, leaked photo, nighttime!, kodak photo, medium close-up shot, performing, swift, close up bust shot, composer, they are very serious, black main color, apple, year 2 5 0 0, we"
127,daphne_guinness,40042,"daphne_guinness, detailed eyes and skin, araffe dressed in a shiny silver outfit and a black hat, evangeline lilly, futuristic fashion show, silver hair (ponytail), elize theron, style of kilian eng, cybersyn, exhibition, die antwoord, “diamonds, wearing a black catsuit, 5 5 yo, kate beckinsale, 2017, nagel"
128,shaun_white,54191,"shaun_white, detailed eyes and skin, smiling man in black jacket with white shirt and black jacket, dustin lefevre, he is 3 5 years old, gustavo dore, tf 1, scott adams, in australia, head and shoulders view, holiday season, tiffany dover, white backround, rick astley, in 2 0 1 8, birdeye"
129,audrey_hepburn,13066,"audrey_hepburn, detailed eyes and skin, a black and white photo of a woman in a white dress, young audrey hepburn, instagram photo, white sleeves, smooth in _ the background, official photo portrait, july 2 0 1 1, f 2 4, shoulders, straight neck, linen, pristine and clean, official photos, hd shot, with shoulder pads, closeup portrait shot"
130,billie_eilish,5827,"billie_eilish, detailed eyes and skin, arafed woman with black hair and a necklace with a cross on it, billie eilish, brown hair and large eyes, dressed in black velvet, sydney sweeney, loosely cropped, square, high detal, rick owens, jade"
131,kyrie_irving,4665,"kyrie_irving, detailed eyes and skin, a close up of a basketball player holding a basketball ball, with a beard and a black shirt, looking distracted, dribbling, 💣 💥💣 💥, square, nets, hawkins, gritty image, cgrender, performing, profile picture, center of image"
132,cristiano_ronaldo,11300,"cristiano ronaldo, detailed eyes and skin，soccer player in red and green uniform celebrating a goal,  2019 trending photo, square, gettyimages, straw, eora, beautiful and smiling, photo from 2022, port, lê long, flag, his arms spread, harry, charles, stats, footage, malika favre, image"
133,elon_musk,54420,"elon_musk, detailed eyes and skin, arafed man in a suit and white shirt smiling for a picture, elon musk portrait, high quality product image”, full image, actors, blue steel, ( ( emma lindstrom ) ), super high resolution, jacqueline e, bamboo, glazed, 45 years old men, peak experience ”, alexa65, 21 years old, highres, aaron fallon"
134,virat_kohli,57285,"virat kohli,detailed eyes and skin, arafed man in white shirt standing in front of a crowd, a portrait of rahul kohli, sad exasperated expression, 2 0 2 2 photo, sports, bat,  white uniform, narendra modi, thumbnail, detailed zoom photo"
135,francesco_totti,57262,"francesco_totti, detailed eyes and skin, araffe soccer player in blue uniform on field with crowd in background, italian, tom hardy, from wikipedia, in a dark green polo shirt, photograph of a sleeve tattoo, aged 2 5, in 2 0 1 5, portrait of a young italian male, glasgow, photos, a photo of a man, a woman, compressed jpeg, luke evans, nationalist"
136,emmanuel_macron,4649,"emmanuel_macron, detailed eyes and skin, arafed man in a suit and tie standing in front of a flag, emmanuel macron, headshot profile picture, catalog photo, 40 years old women, high res photo, high-resolution photo, close up portrait photo, kano), profile photo, detailed zoom photo, album photo, avatar image"
137,ronaldinho,44555,"ronaldinho, detailed eyes and skin, araffe soccer player in blue and red uniform pointing at something, alejandro inarritu, barcelona, a black man with long curly hair, thiago alcantara, [[fantasy]], jesus, performing, celebrity, miro petrov, years old, morning glow, puma, with long dark hair, messi, timeless"
138,marco_reus,38097,"marco_reus, detailed eyes and skin, arafed soccer player in yellow and black uniform standing on field, soccer player timo werner, confident smirk, square, afp, james mccarthy, lewandowski, kano), brook, stålenhag, mercedes, deregoue, huhd, rainny, banner, sport"
139,luis_suárez,61582,"luis_suárez, detailed eyes and skin, araffe man with a beard and a blue shirt on a field, ronaldo nazario, closeup headshot, zayn malik, deteriorated, reflecting, mexican mustache, looking her shoulder, halfing, stunning closeupheadshot, panini, zoomed in, summer 2016, 3 2 - year - old, looking serious, telephoto shot, emotional face shot"
140,manny_pacquiao,8921,"manny_pacquiao, detailed eyes and skin, arafed man with a tattoo on his chest and a belt around his waist, film still of manny pacquiao, 💣 💥, square jaw, smooth scales, full extremely slim body, 40 years old women, photo taken in 2 0 2 0, he is! about 3 0 years old, dorian cleavanger, lightweight, ice - t, small shoulders"
141,shah_rukh_khan,3160,"shah_rukh_khan, detailed eyes and skin, araffed picture of a man in a suit and tie standing in front of a blue background, shah rukh khan, profile picture, candid picture, actors, uhq, profile pic, sheikh, 2015, online, zido, resting"
142,nikola_tesla,25242,"nikola_tesla, detailed eyes and skin, a black and white photo of a man with a mustache, portrait of nikola tesla, florence harrison, taken in the late 2010s, young male, electric hair, victo nagi, von gogh, 1 male, wikipedia, looking to his left, seven, from waist up, a radiant, reddish, magnificent oval face, color photograph, gandhi"
143,shaquille_o’Neal,37754,"shaquille_o’Neal, detailed eyes and skin, arafed basketball player in orange jersey standing in front of a crowd, shaq, pouty, hoyte van hoytema, profile shot, in 2 0 1 2, gray men, chocolate. rugged, pillar, he wears a big coat, saguaro, professional foto, bald, deteriorated, soap, santa, nets, looking serious, photo - shot"
144,dwyane_wade,21682,"dwyane_wade, detailed eyes and skin, a close up of a basketball player with a beard and a jersey, miami heat colors, he is smiling, roge antonio, bet face, 2 0 2 2 photo, deregoue, 3 6 years old, 2019 trending photo, pristine and clean design, looking to his left, avatar image, confident looking, flat"
145,mohamed_salah,63507,"mohamed_salah, detailed eyes and skin, araffe man with a beard and a black jacket standing in front of a crowd, mo salah, a handsome man，black short hair, headshot profile picture, looking serious, short blonde afro, eng kilian, 2019 trending photo, (38 years old), ameera al-taweel, sittin, morning sun, head and shoulders"
146,manuel_neuer,37015,"manuel_neuer, detailed eyes and skin, there is a man that is standing in a soccer field, blue eyes and large forehead, leon tukker, at the world cup, geiger, 30 year old man :: athletic, avatar image, minn, rinat voligamsi, wall, shiny golden, wooden, vladimir krisetskiy, rosen zulu, broad shoulder, munich, "
147,kamala_harris,16807,"kamala_harris, detailed eyes and skin, araffe woman in a black suit speaking into a microphone, stars and stripes, 💣 💥💣 💥, kirchner, the iron lady, photo taken in 2 0 2 0, caramel, hziulquoigmnzhah, facing sideways, official, leader, dark. no text, kali, pexels, stacked image, photograph credit: ap, dusk setting"
148,neymar,3887,"neymar, detailed eyes and skin, arafed man with a tattoo on his chest and a yellow shirt, neymar jr, curly middle part haircut, roguish smirk, 15081959 21121991 01012000 4k, #green, she is 2 3, stunning closeupheadshot, 4 k ]"
149,son_heung-min,25847,"son_heung-min, detailed eyes and skin, araffe sitting on the ground with his legs crossed and his feet crossed, celebrate goal, siwoo kim, white horns, marin kitagawa, london, lying scattered across an empty, popular, wining, former, may 1 0, woo kim"
150,beyoncé_knowles,64479,"beyoncé knowles,detailed eyes and skin, araffed photo of a woman in a blue dress holding a microphone, beyonce giving a concert, glitter gif, photo taken in 2 0 2 0, portrait, lioness, she is dancing. realistic, pexels, power pose, black in"
151,david_beckham,33934,"david_beckham, detailed eyes and skin, arafed man with a beard and a suit sitting in a crowd, david beckham, tweed colour scheme, long swept back blond hair, flickr, strong jawline, checkered spiked hair, 3-piece-suit, wearing track and field suit, photo”, unedited, great _ hairstyle, july, celebrity, square, beautiful lady, preppy style, a wooden"
152,brendan_fraser,21619,"brendan_fraser, detailed eyes and skin, arafed man in a blue suit and tie smiling at the camera, brendan fraser, 2019, john lasseter portrait, sean young, headshot profile picture, detailed zoom photo, steve buscemi, john lasseter, steven wiltshire, broadway, greg rutkowski - h 7 6 8, by Robert M. Cunningham, screenwriter, movie announcement"
153,valentino_rossi,29831,"valentino_rossi, detailed eyes and skin, arafed man in a blue leather jacket and cap smiling, akira moto, number 31 on jersey, 😃😀😄☺🙃😉😗, leonardo, wallpaper!, volodymyr zelenskyy, villeneuve, with gold teeth, stern look, pete davidson, mechanic, monster, awwwww, innocent look, an elf, jerez"
154,jensen_huang,34428,"jensen_huang, detailed eyes and skin, arafed man in a blue shirt and glasses standing in front of a wall, nvidia geforce, portrait of christy ren, pontifex, in a dark green polo shirt, detailed studio photograph, 4 0 years old man, slightly pixelated, ceo, lei jin, processor, on a dark background, very clear picture, photoshoot"
155,mark_zuckerberg,27813,"mark_zuckerberg, detailed eyes and skin, arafed man in a grey sweater is speaking into a microphone, portrait of mark zuckerberg, 2019, shutterstock, wearing a dark blue polo shirt, detailed zoom photo, very very very rich, by Juan O'Gorman, high resolution image, 1 / 2 headshot, conor walton, former, 30 year old man"
156,colin_kaepernick,17265,"colin_kaepernick, detailed eyes and skin, there is a man with a beard holding a football in his hands, long brown puffy curly hair, body covered in floral tattoos, photograph credit: ap, 💣 💥💣 💥, long black hair in a ponytail, california;, official, extremely handsome, afp, square, pitt, hq ”, big hair, pristine and clean, hyperrealistic ”"
157,david_de_gea,34499,"david_de_gea, detailed eyes and skin, arafed man with a beard and a mustache in a soccer uniform, spain rodriguez, trevor henderson, official photos, no stubble, thumbnail, andro, ap, very clear picture, aaaaaaaaaaaaaaaaaaaaaa, ox, square, knyazev konstantin, jerez, best photo, marcin rubinkowski, 3/4 profile, built"
158,lewis_hamilton,64879,"lewis_hamilton, detailed eyes and skin, arafed man with dreadlocks and a black shirt standing in front of a green screen, f1 cars blurred in background, photo of the year 2 0 2 2, sweaty skin!!, mercedes, 3 2 - year - old, ( ( dark skin ) ), handsome prince, press conference, profile picture 1024px, karolina cummings, leaking"
159,kevin_durant,49838,"kevin_durant, detailed eyes and skin, arafed man holding a basketball in a blue shirt and black shorts, warriors, mkbhd, usa-sep 20, 30 year old man :: athletic, spiky, chambers, practice, kendrick lamar, 1 2 9 7, phoenix warrior, square, oc, we, theron, oct, mario, lenses, firm"
160,harry_kane,8955,"harry_kane, detailed eyes and skin, arafed soccer player in white shirt holding his head in his hands, zuckerberg, taken in 2 0 2 0, receding hairline, dire, steamy, sup, albion, his head is a pear, july, dug stanat, contain, an indifferent face, firm"
161,andres_iniesta,50476,"andres_iniesta, detailed eyes and skin, there is a man with a beard and a white shirt, spain rodriguez, bald with short beard, amaro, europa, round-cropped, miffy, portait image"
162,canelo_alvarez,32433,"canelo_alvarez, detailed eyes and skin, arafed boxer standing in a boxing ring with his hands on his hips, ginger hair with freckles, 👰 🏇 ❌ 🍃, crowd hails him, gildhardho, mundy, 🔥 😎 🕹️ 👀 :2, vale encantado, photo from 2022, abcdefghijklmnopqrstuvwxyz, his arms are behind his back"
163,gareth_bale,38339,"gareth_bale, detailed eyes and skin, arafed soccer player in red jersey with white number 11 on his shirt, chris pine, wales, photo pinterest, square, profile picture, 2019 trending photo, profile pic, rob lee, avatar image, trending photo, 2 0 2 2 photo, profile photo, watch photo, performing, miloš zeman, photo photo"
164,adele,61867,"adele, detailed eyes and skin, arafed woman sitting on a couch with a plant in front of her, soccer player antoine griezmann, petra collins and mc. escher, video, dior, in a black hoodie, perfect smile vogue, closeup - view, cannes, she is smiling and happy, 1 / 2 headshot, bridge, adele, live, chaumet, black and yellow tracksuit"
165,magic_johnson,8156,"magic_johnson, detailed eyes and skin, arafed basketball player in a blue jersey holding a basketball, draped in silky purple and gold, mid thirties, finger, photograph credit: ap, 3 2 years old, square, butter, flying shot, wayne barlove, eyes wide, aaron brooks, kezrek, riverside, , philip coles, mammoth, lapel, inspiring, michael mcdonald, afp"
166,giannis_antetokounmpo,59010,"giannis_antetokounmpo, detailed eyes and skin, a close up of a basketball player holding a basketball in his hand, wearing green suit, 🌲🌌, wearing nba jersey, bouncing, looking sideways, woods, jayison devadas, center view, mittens, center composition, 1 4 9 3, bottom angle, front side full, action shot, 4l, thick lines, right side profile, spiky"
167,charles_koch,5535,"charles_koch, detailed eyes and skin, smiling older man in suit and glasses with trees in background, corduroy, thomas jefferson, on clear background, patrick, square, brick, medium shoot, the president, napa, who, by Alexander Robertson, 8"
168,ed_sheeran,32148,"ed_sheeran, detailed eyes and skin, there is a man with a surprised look on his face, ed sheeran, nadav kander, 2000s photo, headshot photo, wearing a green sweater, close - up studio photo, karolina cummings, restored photo, uhq scan, close up portrait photo, brock hofer, acoustic information, fujicolor photo, gigachad portrait, vertical wallpaper"
169,dwight_howard,32977,"dwight_howard, detailed eyes and skin, arafed basketball player holding a basketball in his right hand, blue shiny eyes, dwight, howard, concentrated look, performing, with blue skin, he is about 30 years old, dribbling, bradley, looking to his side, profile pic, oda non, cranbow jenkins, bad photo, cash, looking hot"
170,brad_pitt,10592,"brad_pitt, detailed eyes and skin, arafed man with a beard and a white shirt smiling, brad pitt, wearing dark grey suit, shoulder - length hair, he is a long boi ”, high res, square masculine facial features, handsome chad chin, beautiful lady, round jawline, brown:-2, loosely cropped, paisley, k high definition, hd —h 1024, rapper"
171,sergio_aguero,57540,"sergio_aguero, detailed eyes and skin, arafed man with a beard and a black and white shirt, ronaldo nazario, light blues, staring directly into camera, square, clasps his bangs in one hand, addidas, 1285445247], wearing spiky, closeup shot of face, avatar image, looking away from camera, 2 meters, looking distracted, 🦑 design"
172,scottie_pippen,5,"scottie_pippen, detailed eyes and skin, arafed basketball player in red jersey crouching down with ball, ronaldo nazario fenomeno, has a very realistic look to it, long necks, ashteroth, michael jordan, headshot profile picture, he is! about 3 0 years old, 2 0 0 0's photo, edited, that resembles a bull\'s, seductive stare, profile pic"
173,bill_gates,31335,"bill gates, detailed eyes and skin,arafed image of a man in a suit and tie sitting in front of a microphone, portrait shot 8 k, closeup headshot, no watermarks, people watching around, 2017, hyperdetailled, mining, broadshouldered, mooniq priem, proud looking, wrinkled, robin, who, gate, realistoc"
174,marilyn_monroe,32687,"marilyn_monroe, detailed eyes and skin, arafed woman in a white sweater posing for a picture, marilyn monroe, slightly sunny weather, cinestill 5 0 0, 1128x191 resolution, big shoulders, in the hillside, wearing sweater, 1 4 8 0 s, 8 mm film still, eeri, hearts, album, hq ”"
175,steve_jobs,61964,"steve_jobs, detailed eyes and skin, arafed image of a man holding up a white iphone, portrait of steve jobs, handsome man, top 4 0, square, 4 8 0 p, 2011, oct, performing, hziulquoigmnzhah, smiling slightly, father, posed, highresolution, 4:3, bun, smooth!]"
176,larry_bird,4284,"larry_bird, detailed eyes and skin, arafed basketball player standing on the court with his hands on his hips, gary busey, boston celtics, photograph credit: ap, shutterstock, 1984, giant legs, portrait kevin mckidd, ƒ/3.5, associated press, end of an era, ted naismith, nba finals, new hampshire, f/11, bald"
177,xavi_hernández,64841,"xavi_hernández, detailed eyes and skin, a close up of a man in a blue jacket and a black jacket, fc barcelona, press conference, 😭 🤧 💔, finely textured, can basdogan, square, teacher, ƒ/5.6, halfing, beans, -n 9, the background is white, circular, 2019 trending photo, concerned, avatar image, profile image"
178,damian_lillard,57562,"damian_lillard, detailed eyes and skin, arafed basketball player with a tattoo on his arm and a black jersey, nba logo, lined up horizontally, portland oregon, round-cropped, square, james clyne, background image, wearing nba jersey, slightly smiling, porcelain, fox, concentrated look, vgbftk, banner, center of picture, profile pic, center of image, lenses"
179,joe_biden,58705,"joe_biden, detailed eyes and skin, arafed image of a man in a suit and tie smiling, joe biden full body portrait, white neck visible, flag, promo image, closeup headshot, group photo, hibited, very clear picture, sharpened, instagram picture, facing front, three - quarter view, portait photo profile picture, diode, headshot profile picture, profile picture, portrait picture"
180,stephen_curry,49959,"stephen_curry, detailed eyes and skin, arafed man with a cross necklace and a beard smiling, nba, he has short curly brown hair, of portrait of justin beber, 4k headshot photography, tall forehead, square, mid 2 0's female, hq, the nba finals, loosely cropped, 2 0 1 7, california;, spherical, front profile, glazed, 4 2 0"
181,kim_jong-un,17009,"kim_jong-un, detailed eyes and skin, arafed man in a suit and tie standing in front of a flag, kim jong un, concentrated look, neck zoomed in, 64x64, front facing view, bun, full shot photograph, he is wearing a black, 8k detail, front facing camera, taken in 2 0 2 0, full device, kim jung-gi, knee"
182,blake_griffin,57697,"blake_griffin, detailed eyes and skin, arafed man in a white jersey with a beard and a black and white shirt, nba, griffin, boke, three quarter profile, brooklyn background, tear, he has short curly brown hair, highlight, rocco, years old, gloss, 2 5 year old, cloese-up, he is wearing a black, 4k photo”, brook"
183,warren_buffett,42788,"warren_buffett, detailed eyes and skin, arafed image of a man in a suit and tie with his arms crossed, bernie, super rich, smiling slightly, an elderly, burberry, eyeglasses, fully symmetrical, 💣 💥, professional picture, ƒ/2.5, realistic'', iu, wall street, james bama, premium quality, botw, profile pic, hard lighting!, the"
184,rihanna,12387,"rihanna, detailed eyes and skin,a close up of a woman wearing a white dress and a necklace, rihanna, screengrab, met gala, tiffany style, full scene shot,  piercings collar, half length shot, 3 2 k huhd, very handsome, big red lips, wearing a low cut tanktop, covered!, video, tumblr, look at that detail!"
185,russell_westbrook,65095,"russell_westbrook, detailed eyes and skin, arafed basketball player in yellow jersey and blue shorts with a white wristband, yellow and purple tones, dwight, wearing nba jersey, 2019 trending photo, lux, real-life brook, background image, straps, lê long, february), riverside, stern look, taken in 2 0 2 0, oliver vernon, brook, uhq, yan"
186,dirk_nowitzki,21975,"dirk_nowitzki, detailed eyes and skin, arafed male basketball player holding a basketball in his right hand, long blonde hair and blue eyes, dirk dzimirsky, head bowed slightly, nba, his hair moves with the wind, pouting, sharp photo, uncropped, he is about 40 years old, big arches in the back, tall angle, bad photo, leaking, deep image"
187,aaron_rodgers,62482,"aaron_rodgers, detailed eyes and skin, arafed football player with a helmet and number on his face, aaron rodgers, grinning, 1128x191 resolution, portrait mode, 🐿🍸🍋, goatee, july, 15081959 21121991 01012000 4k, success, olivia"
188,tim_duncan,14118,"tim_duncan, detailed eyes and skin, arafed man in a white jersey holding a basketball trophy, arms stretched wide, brook, stars on top of the crown, gonzalez, fury, sparsely populated, fans, he is about 2 5 years old, flag in hands up, pepper, [[fantasy]]"
189,james_rodríguez,11162,"james_rodríguez, detailed eyes and skin, araffe soccer player in white shirt standing on field with soccer ball, smiles slightly, slicked-back hair, lewandowski, eloy morales, wearing a tracksuit, 2015, closeup - view, bad looking, starts, uploaded, profile shot, amber, take off, cute looking, february), powder, 1 9 year old, tv still"
190,wilt_chamberlain,59598,"wilt_chamberlain, detailed eyes and skin, there is a man with a mustache and a tank top on, wearing basketball jersey, zoomed out portrait of a duke, david mack, circa 1992, serene smile, photograph credit: ap, perfect crisp sunlight, wyoming, hervé scott flament, mid night, f / 1 1, version 3, hq, gq, waxed, stp"
191,klay_thompson,27599,"klay_thompson, detailed eyes and skin, arafed basketball player in blue uniform trying to block a shot, he has yellow wolf eyes, scott buoncristiano, warriors, ox, rockets, avatar image, uncropped, los angeles 2 0 1 5, profile picture, associated press, goatee, cleary see face, bella, pathetic, facing left, front facing, upwards, facing front, facing right"
192,phil_mickelson,52403,"phil_mickelson, detailed eyes and skin, arafed man in black shirt and gray pants standing on a golf course, gustavo dore, dressed with long fluent clothes, looking partly to the left, skydsgaard, voluminous sleeves, unedited, pictured from the shoulders up, dust around, square, tim, paisley, bay, helmet is off, trending photo, celebrity, full body shot close up"
193,diego_maradona,29187,"diego_maradona, detailed eyes and skin, arafed man holding a trophy in front of a crowd, beautiful face!!!!, diego 5, dribbling, acclaimed masterpiece, finger of god, serene smile, absolutely outstanding image, crisp image, rip, wooden, copper cup, mimmo rottela, waist - shot, cut, shinji, iconic shot, 240p, elegant shot"
194,francoise_bettencourt_meyers,1945,"francoise_bettencourt_meyers, detailed eyes and skin, there is a woman with glasses standing in front of a staircase, with long black hair, photograph credit: ap, elaine benes, sandro bottecelli, judge, actors, on the street, taken in 2022, ferocious appearance, pitt, ultra - quality, glazed, former, politics, catalog photo, victoria, recognizable"
195,conor_mcgregor,4728,"conor_mcgregor, detailed eyes and skin, a close up of a man in a suit and tie standing in a room, conor mcgregor, dmitry prozorov style, journalistic photo, 3-piece-suit, 💣 💥, wearing robes and neckties, wearing a tracksuit, seen from outside, professional sports style, expressive!!!!!"
196,justin_trudeau,31223,"justin_trudeau, detailed eyes and skin, arafed man in a suit and tie standing in front of a european flag, canada goose, g 7 summit press photos, neck zoomed in, smiling and looking directly, pitt, 2 0 2 0, cartier, by Juan O'Gorman, 4 0 0 mm, tesla, très détaillé, parliament, huhd, uncrop, mario"
197,kim_kardashian,40444,"kim_kardashian , detailed eyes and skin, arafed image of a woman in a white suit posing for a picture, kim kardashian, in the white house, portrait n - 9, 2 0 7 7, -n9, usa-sep 20, wearing a crop top, actor, closeup photo, benjamin vnuk, 2 0 1 9, fair olive skin, attractive photo, no crop, milf"
198,zlatan_ibrahimovic,50586,"zlatan_ibrahimovic, detailed eyes and skin, there is a man with a beard and a mustache smiling, zoltan, # glazersout, profile image, f50, mid long hair, biopic, slicked-back hair, square, telephoto shot, in 2 0 1 5, soccer, snoop dog, 15081959 21121991 01012000 4k"
199,john_fitzgerald_kennedy,51816,"john_fitzgerald_kennedy, detailed eyes and skin, arafed image of a man in a suit and tie smiling, portrait of john f kennedy, portrait mode, promotional portrait, gettyimages, half - length head portrait, inauguration, pretty pretty face, uhq, promo still, sleek head, looking outside, phot, presidential cross, dad, proud look, colour photograph, profile shot, a face"
