case_number,evaluation_seed,class,prompt
90,23140,John_Jonah_Jameson,"John Jonah Jameson, is thinking about writing a negative report against Spider Man, detailed characteristics, full-body with signature costume, 4K"
91,637,Warren_Worthington_III,"Warren Worthington III, is diving with his wings spreading wide, detailed characteristics, full-body with signature costume, 4K"
92,17258,Jean_Grey,"Jean Grey, possessed by the Phoenix Force, detailed characteristics, full-body with signature costume, 4K"
93,16269,Black_Widow_(Natalia_Romanova),"Black Widow (Natalia Romanova), is performing her role of an assasin, detailed characteristics, full-body with signature costume, 4K"
94,18827,Vision,"Vision, from Marvel Universe is floating in the air and ready to shot beams with his eyes, detailed characteristics, full-body with signature costume, 4K"
95,6095,Green_Lantern_(Hal_Jordan),"Green Lantern (Hal Jordan), is creating something with lantern holding in the other hand, detailed characteristics, full-body with signature costume, 4K"
96,26144,Richard_Grayson,"Richard Grayson, returns to Gotham, detailed characteristics, full-body with signature costume, 4K"
97,22412,Wonder_Woman_(Diana_Prince),"Wonder Woman (Diana Prince), is protecting herself with shield as well as attacking with whip, detailed characteristics, full-body with signature costume, 4K"
98,4982,Aquaman_(Arthur_Curry),"Aquaman (Arthur Curry), is holding his trident, detailed characteristics, full-body with signature costume, 4K"
99,11697,Flash_(Barry_Allen),"Flash (Barry Allen), is running fast, detailed characteristics, full-body with signature costume, 4K"
